mux_type,k_min,density,rep,N,N_gcc,giant_fraction
no_mux,100.0,0.0003174802103936401,5,1000,128.0,0.128
no_mux,100.0,0.0003174802103936401,6,1000,129.0,0.129
no_mux,100.0,0.0003174802103936401,7,1000,139.0,0.139
no_mux,100.0,0.0003174802103936401,8,1000,182.0,0.182
no_mux,100.0,0.0003174802103936401,9,1000,174.0,0.174
no_mux,100.0,0.0003174802103936401,10,1000,230.0,0.23
no_mux,100.0,0.0003174802103936401,11,1000,103.0,0.103
no_mux,100.0,0.0003174802103936401,12,1000,95.0,0.095
no_mux,100.0,0.0003174802103936401,13,1000,70.0,0.07
no_mux,100.0,0.0003174802103936401,14,1000,96.0,0.096
no_mux,100.0,0.0003174802103936401,15,1000,56.0,0.056
no_mux,100.0,0.0003174802103936401,16,1000,93.0,0.093
no_mux,100.0,0.0003174802103936401,17,1000,139.0,0.139
no_mux,100.0,0.0003174802103936401,18,1000,61.0,0.061
no_mux,100.0,0.0003174802103936401,19,1000,88.0,0.088
no_mux,100.0,0.0003174802103936401,20,1000,89.0,0.089
no_mux,100.0,0.0003174802103936401,21,1000,269.0,0.269
no_mux,100.0,0.0003174802103936401,22,1000,109.0,0.109
no_mux,100.0,0.0003174802103936401,23,1000,230.0,0.23
no_mux,100.0,0.0003174802103936401,24,1000,133.0,0.133
no_mux,100.0,0.0003174802103936401,25,1000,80.0,0.08
no_mux,100.0,0.0003174802103936401,26,1000,92.0,0.092
no_mux,100.0,0.0003174802103936401,27,1000,83.0,0.083
no_mux,100.0,0.0003174802103936401,28,1000,111.0,0.111
no_mux,100.0,0.0003174802103936401,29,1000,112.0,0.112
no_mux,100.0,0.0003174802103936401,30,1000,159.0,0.159
no_mux,100.0,0.0003174802103936401,31,1000,113.0,0.113
no_mux,100.0,0.0003174802103936401,32,1000,57.0,0.057
no_mux,100.0,0.0003174802103936401,33,1000,122.0,0.122
no_mux,100.0,0.0003174802103936401,34,1000,144.0,0.144
no_mux,100.0,0.0003174802103936401,35,1000,69.0,0.069
no_mux,100.0,0.0003174802103936401,36,1000,207.0,0.207
no_mux,100.0,0.0003174802103936401,37,1000,143.0,0.143
no_mux,100.0,0.0003174802103936401,38,1000,113.0,0.113
no_mux,100.0,0.0003174802103936401,39,1000,146.0,0.146
no_mux,100.0,0.0003703498849149162,0,1000,145.0,0.145
no_mux,100.0,0.0003703498849149162,1,1000,174.0,0.174
no_mux,100.0,0.0003703498849149162,2,1000,129.0,0.129
no_mux,100.0,0.0003703498849149162,3,1000,287.0,0.287
no_mux,100.0,0.0003703498849149162,4,1000,79.0,0.079
no_mux,100.0,0.0003703498849149162,5,1000,154.0,0.154
no_mux,100.0,0.0003703498849149162,6,1000,80.0,0.08
no_mux,100.0,0.0003703498849149162,7,1000,158.0,0.158
no_mux,100.0,0.0003703498849149162,8,1000,284.0,0.284
no_mux,100.0,0.0003703498849149162,9,1000,158.0,0.158
no_mux,100.0,0.0003703498849149162,10,1000,85.0,0.085
no_mux,100.0,0.0003703498849149162,11,1000,124.0,0.124
no_mux,100.0,0.0003703498849149162,12,1000,177.0,0.177
no_mux,100.0,0.0003703498849149162,13,1000,236.0,0.236
no_mux,100.0,0.0003703498849149162,14,1000,112.0,0.112
no_mux,100.0,0.0003703498849149162,15,1000,118.0,0.118
no_mux,100.0,0.0003703498849149162,16,1000,132.0,0.132
no_mux,100.0,0.0003703498849149162,17,1000,168.0,0.168
