mux_type,k_min,M,density,rep,N,avg_skr,avg_qber,avg_fidelity,avg_ent_rate,reachability
no_mux,100,1,0.00012648552168552957,5,1000,368.39466131471875,0.03368775787030894,0.9494683631945368,992.0146879305146,0.0011811811811811813
no_mux,100,1,0.00012648552168552957,6,1000,320.51191578780293,0.03391866472787272,0.9491220029081909,861.6901637545626,0.0011711711711711711
no_mux,100,1,0.00012648552168552957,7,1000,320.3602865516995,0.03582898763224088,0.9462565185516387,863.5147650320317,0.0012312312312312312
no_mux,100,1,0.00012648552168552957,8,1000,344.4693593660036,0.03479659704440029,0.9478051044333995,928.2480996034996,0.001041041041041041
no_mux,100,1,0.00012648552168552957,9,1000,326.70051792316247,0.040318216706766684,0.93952267493985,870.0275660064347,0.0012012012012012011
no_mux,100,1,0.00015998587196060574,0,1000,287.11194701269557,0.03796441033585352,0.9430533844962198,782.6369528255736,0.0019019019019019018
no_mux,100,1,0.00015998587196060574,1,1000,344.4640190592899,0.04473939388935489,0.9328909091659675,930.3051431467479,0.0015115115115115114
no_mux,100,1,0.00015998587196060574,2,1000,237.21870346446894,0.06822359736227819,0.8976646039565827,652.675428371602,0.0017717717717717718
no_mux,100,1,0.00015998587196060574,3,1000,398.1259559541817,0.03429397757567643,0.9485590336364853,1062.156645256725,0.0014414414414414415
no_mux,100,1,0.00015998587196060574,4,1000,413.3782191965677,0.04824299975919917,0.9276355003612012,1120.400616945091,0.0015915915915915915
no_mux,100,1,0.00015998587196060574,5,1000,386.11823462960257,0.03881128713038545,0.9417830693044218,1035.4796379821614,0.0014314314314314315
no_mux,100,1,0.00015998587196060574,6,1000,318.244328417575,0.06279683025791594,0.905804754613126,870.6522628405922,0.0015015015015015015
no_mux,100,1,0.00015998587196060574,7,1000,250.86475714702667,0.06361198937952109,0.9045820159307184,699.6462728704959,0.0013513513513513514
no_mux,100,1,0.00015998587196060574,8,1000,265.7008442617192,0.04846740359837711,0.9272988946024343,742.3467678145856,0.002032032032032032
no_mux,100,1,0.00015998587196060574,9,1000,394.9622525411855,0.03386535680144878,0.9492019647978268,1058.4117061107975,0.0014614614614614615
no_mux,100,1,0.00020235896477251576,0,1000,394.3656216231222,0.04618234763728066,0.9307264785440792,1058.4418385453075,0.0016516516516516516
no_mux,100,1,0.00020235896477251576,1,1000,286.4488209909114,0.04914319330357547,0.9262852100446369,794.3052562341078,0.0021421421421421423
no_mux,100,1,0.00020235896477251576,2,1000,292.8237092070865,0.06733202484949558,0.8990019627257567,810.5954198352258,0.001981981981981982
no_mux,100,1,0.00020235896477251576,3,1000,305.0405973348988,0.04527114558141332,0.9320932816278801,832.640057287417,0.0016916916916916917
no_mux,100,1,0.00020235896477251576,4,1000,268.03449081031863,0.05864285473018181,0.9120357179047272,743.4204664314224,0.0018918918918918919
no_mux,100,1,0.00020235896477251576,5,1000,292.42249787313375,0.04873552557340549,0.9268967116398918,803.2894509099059,0.002032032032032032
no_mux,100,1,0.00020235896477251576,6,1000,315.8368676365751,0.04489391445908653,0.9326591283113701,869.7940911181352,0.001821821821821822
no_mux,100,1,0.00020235896477251576,7,1000,294.61012823230317,0.04612900295096535,0.9308064955735519,813.355577543182,0.0016416416416416416
no_mux,100,1,0.00020235896477251576,8,1000,296.7811843837801,0.04120591942469524,0.9381911208629572,820.376195895314,0.002122122122122122
no_mux,100,1,0.00020235896477251576,9,1000,346.34593389050207,0.040884249916984396,0.9386736251245233,933.3065336893344,0.0016516516516516516
no_mux,100,1,0.0002559547922699536,0,1000,277.75669561539513,0.06393665740975582,0.9040950138853663,772.8715402712822,0.002272272272272272
no_mux,100,1,0.0002559547922699536,1,1000,261.8868108734541,0.05434216017801079,0.9184867597329838,727.489583028583,0.0016816816816816818
no_mux,100,1,0.0002559547922699536,2,1000,276.2475947871782,0.06659724924740489,0.9001041261288927,767.6729154066666,0.0023823823823823824
no_mux,100,1,0.0002559547922699536,3,1000,287.84704092527534,0.054047590929668286,0.9189286136054976,809.3863741820758,0.0024124124124124124
no_mux,100,1,0.0002559547922699536,4,1000,221.11369424874587,0.06808509191969479,0.8978723621204577,625.9177267694562,0.0025125125125125126
no_mux,100,1,0.0002559547922699536,5,1000,306.4934098690933,0.055950597509777704,0.9160741037353335,855.2603545191323,0.002332332332332332
no_mux,100,1,0.0002559547922699536,6,1000,355.89984696953525,0.05621205092986265,0.915681923605206,976.6379384420287,0.002082082082082082
no_mux,100,1,0.0002559547922699536,7,1000,310.650721025542,0.05563813713691572,0.9165427942946265,859.4393559365151,0.0018618618618618619
no_mux,100,1,0.0002559547922699536,8,1000,282.17936870985926,0.04546813206119811,0.9317978019082028,785.0516907970158,0.0023123123123123123
no_mux,100,1,0.0002559547922699536,9,1000,315.8087866987989,0.047896839178412566,0.9281547412323812,869.4889392117915,0.001821821821821822
no_mux,100,1,0.00032374575428176434,0,1000,283.87532982532565,0.055876088149640575,0.9161858677755392,799.4996171147554,0.0024124124124124124
no_mux,100,1,0.00032374575428176434,1,1000,245.6931598999146,0.07006969539914185,0.8948954569012872,703.5985282220863,0.002992992992992993
no_mux,100,1,0.00032374575428176434,2,1000,233.269898633216,0.07646988375439606,0.8852951743684059,673.3067655067442,0.0034234234234234236
no_mux,100,1,0.00032374575428176434,3,1000,302.73570391263416,0.06576876896414231,0.9013468465537865,858.6678172236943,0.0033733733733733733
no_mux,100,1,0.00032374575428176434,4,1000,262.17464009064577,0.06869920253111465,0.8969511962033281,739.2840600469037,0.003053053053053053
no_mux,100,1,0.00032374575428176434,5,1000,265.1886060071222,0.06251845663458588,0.9062223150481211,751.3614800805151,0.0025425425425425426
no_mux,100,1,0.00032374575428176434,6,1000,270.5618464011376,0.06041486565910968,0.9093777015113355,770.0216531357902,0.002992992992992993
no_mux,100,1,0.00032374575428176434,7,1000,216.21179824406136,0.07138363172432087,0.8929245524135186,626.0514168275196,0.002972972972972973
no_mux,100,1,0.00032374575428176434,8,1000,385.44867666756943,0.05307528454713673,0.9203870731792949,1066.6693144456576,0.0024724724724724725
no_mux,100,1,0.00032374575428176434,9,1000,228.55589484899028,0.06999628431405969,0.8950055735289104,648.9659548557959,0.0028128128128128128
no_mux,100,1,0.00040949150623804275,0,1000,268.30986859264357,0.066992424077575,0.8995113638836375,762.5546726041956,0.003243243243243243
no_mux,100,1,0.00040949150623804275,1,1000,284.68802045187044,0.0639162353411315,0.9041256469883027,824.5047465392901,0.002992992992992993
no_mux,100,1,0.00040949150623804275,2,1000,167.73595445267588,0.1114977743872999,0.8327533384190501,491.32611379051497,0.003963963963963964
no_mux,100,1,0.00040949150623804275,3,1000,233.84426525650568,0.05926269482111808,0.9111059577683229,669.0379646063907,0.003023023023023023
