param,param_value,mux_type,k_min,M,density,rep,N,avg_skr,avg_qber,avg_fidelity,avg_ent_rate,reachability
P_BSM,0.1,no_mux,100,1,1.0,3,1000,18.039399536743545,0.07187833511039188,0.8921824973344121,52.40872193912474,0.968988988988989
P_BSM,0.2285714285714286,no_mux,100,1,1.0,3,1000,29.085445526380926,0.0721779759409597,0.8917330360885604,99.97535916629931,0.9696216216216216
P_BSM,0.3571428571428572,no_mux,100,1,1.0,3,1000,45.42882766364767,0.07252523440454128,0.8912121483931881,181.3494484614695,0.9654854854854855
P_BSM,0.48571428571428577,no_mux,100,1,1.0,3,1000,71.42755348577977,0.07176530077600042,0.8923520488359994,318.8030202177349,0.9710310310310311
P_BSM,0.6142857142857143,no_mux,100,1,1.0,3,1000,103.81963530553932,0.07219997639366481,0.8917000354095029,505.2463537936638,0.9655395395395395
P_BSM,0.7428571428571429,no_mux,100,1,1.0,3,1000,147.5650689496275,0.07148588280596949,0.8927711757910458,764.9166043764723,0.9704964964964965
P_BSM,0.8714285714285716,no_mux,100,1,1.0,3,1000,191.80042443494114,0.07209938319991958,0.8918509252001208,1064.0024582520205,0.9661781781781782
P_BSM,1.0,no_mux,100,1,1.0,3,1000,247.96086528403586,0.07176790664449997,0.89234814003325,1443.1024602523667,0.971067067067067
T_coh,0.01,no_mux,100,1,1.0,3,1000,162.02370064640624,0.09087055642035018,0.8636941653694746,1395.4217538849928,0.8051151151151151
T_coh,0.02682695795279726,no_mux,100,1,1.0,3,1000,233.11286707423298,0.0752625483334713,0.887106177499793,1441.8672201822344,0.9691311311311311
T_coh,0.07196856730011521,no_mux,100,1,1.0,3,1000,254.69608317800243,0.07038782099679172,0.8944182685048124,1439.4858599954425,0.9712512512512512
T_coh,0.19306977288832497,no_mux,100,1,1.0,3,1000,269.676001712056,0.06788681273726621,0.8981697808941007,1455.712750121971,0.994926926926927
T_coh,0.517947467923121,no_mux,100,1,1.0,3,1000,270.9241613311207,0.06720128969700757,0.8991980654544887,1447.2258351951734,0.9941121121121121
